街灯ID,lng,lat
548,136.18362029202882,35.909758418925655
7216,136.1817439439946,35.90984231717708
560,136.18913032613816,35.90993839592072
7218,136.18166694017447,35.910064162103346
7042,136.18179112018703,35.91027426180005
7267,136.19052319373824,35.910301581403836
562,136.18785031126126,35.91039838436164
563,136.18918039895735,35.91043837331746
561,136.1880502900484,35.91049838715837
18839,136.17173924270168,35.910541047685115
6964,136.17767364530678,35.91063982077838
7483,136.1817237087726,35.91064373110387
6965,136.17818060267498,35.91065131840377
7197,136.17878405199045,35.91066366762353
7199,136.17932820617645,35.910677185682545
7043,136.18182769854138,35.91067836921538
6966,136.17999974956368,35.910695465457394
7202,136.1805843003441,35.9107100841043
7479,136.18177590116264,35.910714864407076
7195,136.17791042214793,35.910715716796346
7204,136.18123444556502,35.910727133636975
7196,136.17845477608068,35.910734374309136
7264,136.18953365559597,35.91074292691266
6963,136.18181299678992,35.91074292205396
7198,136.17904482661157,35.91074449353337
7075,136.17755115031682,35.91075194664566
6967,136.1822605590582,35.910755128566066
7200,136.1796494755373,35.9107631421003
6968,136.18294560137127,35.910772388685764
7201,136.1803109198954,35.910778552005716
7206,136.18346455778212,35.91078303661163
7203,136.18087527240579,35.91079203042178
7208,136.1843487833606,35.91080447976311
7098,136.1785394658031,35.910804828252644
7480,136.18174989900797,35.910808553931794
7481,136.18163830820146,35.91081016181062
8304,136.1801035356347,35.910810774936685
7207,136.1849079364529,35.91081469843702
7484,136.18193598311908,35.91081799617224
7210,136.18557388062143,35.91082610884881
7096,136.17878974392264,35.91082861008061
7081,136.1795738784403,35.91083644293953
7211,136.18618972896792,35.91083713842631
7205,136.18262552493462,35.91083794608283
7083,136.179320699395,35.91083799835081
7084,136.17915841269146,35.91084193509501
7728,136.17977556137657,35.910843265732616
7085,136.17907661920495,35.910848003017264
6970,136.18314948094684,35.91084823413452
7478,136.18178139435264,35.910852849744025
